path	class	upstream_state	upstream_blob	candidate_blob	disposition
extensions/browser/src/browser/pw-role-snapshot.ts	test-support-fixture-snapshot	present	7972e0436822e1bd5a3d3cdbc2f8f4ad75a12340	7972e0436822e1bd5a3d3cdbc2f8f4ad75a12340	Candidate preserves frozen-upstream test substrate exactly at blob 7972e0436822e1bd5a3d3cdbc2f8f4ad75a12340; no semantic difference requires manual resolution.
extensions/codex/src/app-server/context-compaction-activity.test.ts	test-file	present	12d3708f13e86b7a8068062c71754269acc7a480	12d3708f13e86b7a8068062c71754269acc7a480	Candidate preserves frozen-upstream test substrate exactly at blob 12d3708f13e86b7a8068062c71754269acc7a480; no semantic difference requires manual resolution.
extensions/codex/src/app-server/transcript-mirror.test.ts	test-file	present	bbabfe1e077a9964e9f15d804e72eee375a585f0	bbabfe1e077a9964e9f15d804e72eee375a585f0	Candidate preserves frozen-upstream test substrate exactly at blob bbabfe1e077a9964e9f15d804e72eee375a585f0; no semantic difference requires manual resolution.
extensions/codex/src/node-exec-server.test.ts	test-file	present	711f120067b3f35829dc83cd2fe9835ae1b43ee7	711f120067b3f35829dc83cd2fe9835ae1b43ee7	Candidate preserves frozen-upstream test substrate exactly at blob 711f120067b3f35829dc83cd2fe9835ae1b43ee7; no semantic difference requires manual resolution.
extensions/discord/src/actions/handle-action.test.ts	test-file	present	2957fb5bf9d723887b0b7a41ca6b033a13762b45	2957fb5bf9d723887b0b7a41ca6b033a13762b45	Candidate preserves frozen-upstream test substrate exactly at blob 2957fb5bf9d723887b0b7a41ca6b033a13762b45; no semantic difference requires manual resolution.
extensions/discord/src/actions/handle-action.upload-file-caption.test.ts	test-file	present	eaf9f5b223f24174f76e759c4b029eb483cf75ac	eaf9f5b223f24174f76e759c4b029eb483cf75ac	Candidate preserves frozen-upstream test substrate exactly at blob eaf9f5b223f24174f76e759c4b029eb483cf75ac; no semantic difference requires manual resolution.
extensions/discord/src/actions/runtime.test.ts	test-file	present	45590b9c3909d5eb595776de4a6486374299f8ee	45590b9c3909d5eb595776de4a6486374299f8ee	Candidate preserves frozen-upstream test substrate exactly at blob 45590b9c3909d5eb595776de4a6486374299f8ee; no semantic difference requires manual resolution.
extensions/discord/src/internal/gateway.test.ts	test-file	present	4e35997126ed801a59a0a3e34ea1603790df1e5b	4e35997126ed801a59a0a3e34ea1603790df1e5b	Candidate preserves frozen-upstream test substrate exactly at blob 4e35997126ed801a59a0a3e34ea1603790df1e5b; no semantic difference requires manual resolution.
extensions/discord/src/monitor/native-command-reply.test.ts	test-file	present	f266497b1fb8eb3d2c996abea0156874ad31c4c6	f266497b1fb8eb3d2c996abea0156874ad31c4c6	Candidate preserves frozen-upstream test substrate exactly at blob f266497b1fb8eb3d2c996abea0156874ad31c4c6; no semantic difference requires manual resolution.
extensions/discord/src/monitor/native-command.status-direct.test.ts	test-file	present	c237fbe2c6f5ce1a3e25b0476d6ce26422a3eb36	c237fbe2c6f5ce1a3e25b0476d6ce26422a3eb36	Candidate preserves frozen-upstream test substrate exactly at blob c237fbe2c6f5ce1a3e25b0476d6ce26422a3eb36; no semantic difference requires manual resolution.
