class	additions	deletions	path
evidence	929	0	.gate-out/continuation-drift-cure/freeze-2-28393d4bbd82327aefe7db8e2d5f41721bb77eab/accepted-feature-files.txt
evidence	12	0	.gate-out/continuation-drift-cure/freeze-2-28393d4bbd82327aefe7db8e2d5f41721bb77eab/freeze.env
evidence	3	0	.gate-out/continuation-drift-cure/freeze-2-28393d4bbd82327aefe7db8e2d5f41721bb77eab/gate-2.7-source-counts.txt
evidence	340	0	.gate-out/continuation-drift-cure/freeze-2-28393d4bbd82327aefe7db8e2d5f41721bb77eab/gate-2.7-source-summary.txt
evidence	930	0	.gate-out/continuation-drift-cure/freeze-2-28393d4bbd82327aefe7db8e2d5f41721bb77eab/gate-2.7-source/classification.tsv
evidence	99	0	.gate-out/continuation-drift-cure/freeze-2-28393d4bbd82327aefe7db8e2d5f41721bb77eab/new-upstream-name-status.tsv
evidence	1	0	.gate-out/continuation-drift-cure/freeze-2-28393d4bbd82327aefe7db8e2d5f41721bb77eab/prospective-merge-tree.txt
evidence	35	0	.gate-out/continuation-drift-cure/freeze-2-28393d4bbd82327aefe7db8e2d5f41721bb77eab/shared-files.txt
evidence	581	0	.gate-out/continuation-drift-cure/freeze-2-28393d4bbd82327aefe7db8e2d5f41721bb77eab/upstream-drift-files.txt
evidence	929	0	.gate-out/continuation-drift-cure/freeze-3-50595d784e0ed4bfab789c7bfe8b488088285d07/accepted-feature-files.txt
evidence	12	0	.gate-out/continuation-drift-cure/freeze-3-50595d784e0ed4bfab789c7bfe8b488088285d07/freeze.env
evidence	3	0	.gate-out/continuation-drift-cure/freeze-3-50595d784e0ed4bfab789c7bfe8b488088285d07/gate-2.7-source-counts.txt
evidence	342	0	.gate-out/continuation-drift-cure/freeze-3-50595d784e0ed4bfab789c7bfe8b488088285d07/gate-2.7-source-summary.txt
evidence	930	0	.gate-out/continuation-drift-cure/freeze-3-50595d784e0ed4bfab789c7bfe8b488088285d07/gate-2.7-source/classification.tsv
evidence	55	0	.gate-out/continuation-drift-cure/freeze-3-50595d784e0ed4bfab789c7bfe8b488088285d07/new-upstream-name-status.tsv
evidence	1	0	.gate-out/continuation-drift-cure/freeze-3-50595d784e0ed4bfab789c7bfe8b488088285d07/prospective-merge-tree.txt
evidence	37	0	.gate-out/continuation-drift-cure/freeze-3-50595d784e0ed4bfab789c7bfe8b488088285d07/shared-files.txt
evidence	631	0	.gate-out/continuation-drift-cure/freeze-3-50595d784e0ed4bfab789c7bfe8b488088285d07/upstream-drift-files.txt
evidence	929	0	.gate-out/continuation-drift-cure/merge-freeze/accepted-feature-files.txt
evidence	13	0	.gate-out/continuation-drift-cure/merge-freeze/freeze.env
evidence	3	0	.gate-out/continuation-drift-cure/merge-freeze/gate-2.7-source-counts.txt
evidence	340	0	.gate-out/continuation-drift-cure/merge-freeze/gate-2.7-source-summary.txt
evidence	930	0	.gate-out/continuation-drift-cure/merge-freeze/gate-2.7-source/classification.tsv
evidence	44	0	.gate-out/continuation-drift-cure/merge-freeze/prospective-merge-tree.txt
evidence	34	0	.gate-out/continuation-drift-cure/merge-freeze/shared-files.txt
evidence	499	0	.gate-out/continuation-drift-cure/merge-freeze/upstream-drift-files.txt
evidence	499	0	.gate-out/continuation-drift-cure/merge-freeze/upstream-drift-name-status.tsv
evidence	6	0	.gate-out/continuation-drift-cure/merge/conflict-ledger.tsv
evidence	929	0	.gate-out/continuation-drift-cure/post-merge-de1fce0188450e7aaa3488c40f4c300cc60f54da/broader-feature-inventory.txt
evidence	1	0	.gate-out/continuation-drift-cure/post-merge-de1fce0188450e7aaa3488c40f4c300cc60f54da/gate-2-broader-feature-byte-walk.exit
evidence	946	0	.gate-out/continuation-drift-cure/post-merge-de1fce0188450e7aaa3488c40f4c300cc60f54da/gate-2-broader-feature-byte-walk.txt
evidence	1	0	.gate-out/continuation-drift-cure/post-merge-de1fce0188450e7aaa3488c40f4c300cc60f54da/gate-2-feature-cores.exit
evidence	50	0	.gate-out/continuation-drift-cure/post-merge-de1fce0188450e7aaa3488c40f4c300cc60f54da/gate-2-feature-cores.txt
evidence	499	0	.gate-out/continuation-drift-cure/post-merge-de1fce0188450e7aaa3488c40f4c300cc60f54da/gate-2.5/all-upstream-touched-paths.txt
